topic_number Q0 arg_ids rank score method
1 Q0 S1c013351-A9d85a654 0 0.0037944259 method
1 Q0 S1729fff9-A41d01731 1 0.0035142854 method
1 Q0 S13dc6faa-A8d13ba4a 2 0.0023276436 method
1 Q0 S153cd52f-A118dded8 3 0.0020599233 method
1 Q0 S1889e293-Abbbe4159 4 0.0016324748 method
1 Q0 See43c56e-Aa43e6c3f 5 0.0012869776 method
1 Q0 S13cc8d5c-A5e4b39c5 6 0.0012699782 method
1 Q0 S151e639d-A433b698c 7 0.0011124721 method
1 Q0 S1c381e4c-Ac00e28e1 8 0.0010181227 method
1 Q0 S1a932dcf-Af70f1e9b 9 9.310575E-4 method
2 Q0 See43c56e-Aa43e6c3f 0 0.0952381 method
2 Q0 See427734-A7c252419 1 0.0024242306 method
2 Q0 S1a924cd4-A994e77ca 2 0.0021079008 method
2 Q0 S18b0ef57-A650e7cde 3 0.0021068933 method
2 Q0 S1da536d3-Aa5703d5c 4 0.0019048313 method
2 Q0 S1a9db4fc-Acc4206f5 5 0.0016256986 method
2 Q0 S153cd52f-A118dded8 6 0.0015892871 method
2 Q0 S16dfe873-A5eecb6e3 7 0.0015804304 method
2 Q0 S1729fff9-A41d01731 8 0.0013774293 method
2 Q0 S1c02090e-A4c2d4ee5 9 0.0013290435 method
3 Q0 S1729fff9-A41d01731 0 0.0047296137 method
3 Q0 S13dc6faa-A8d13ba4a 1 0.0027301223 method
3 Q0 S16d34099-A66c53818 2 0.0026286894 method
3 Q0 S151e639d-A433b698c 3 0.0018819137 method
3 Q0 S1a49ff08-Ae4ca21f2 4 0.0017336482 method
3 Q0 See43c56e-Aa43e6c3f 5 0.0017320467 method
3 Q0 S1c381e4c-Ac00e28e1 6 0.0017223073 method
3 Q0 S1f936534-A171c26ae 7 0.0016919489 method
3 Q0 S153cd52f-A118dded8 8 0.0016597882 method
3 Q0 S1a932dcf-Af70f1e9b 9 0.0015750235 method
